Event Name,Parameters,Data type,Description,Status
USER_ONBOARDED,first_name,,Customer First Name,GreenAvailable in v7.5
USER_ONBOARDED,String,,,
USER_ONBOARDED,email,,,
USER_ONBOARDED,birthday,,,
USER_ONBOARDED,marketing_consent,,"Checkbox only available for some regions. If it is not shown, then value will be unseen",
USER_ONBOARDED,requires_second_opt_in,,Only Germany and Austria require second opt in currently.,
CHECKOUT_STARTED,subscription_plan,,"Choose the plan highlighted in pink, else if plans are both pink or neither pink then first plan on the list.monthly if Monthly Planannual if Annual Plan",GreenAvailable in v7.5
CHECKOUT_STARTED,Boolean,,,
CHECKOUT_STARTED,subscription_costYellowOpTIONAL,,,
CHECKOUT_STARTED,currencyYellowOpTIONAL,,,
CHECKOUT_STARTED,plan_trial_lengthYellowOpTIONAL,,,
CART_UPDATED,subscription_plan,,"Choose the plan highlighted in pink, else if plans are both pink or neither pink then first plan on the list.monthly if Monthly Planannual if Annual Plan",GreenAvailable in v7.5
CART_UPDATED,Boolean,,,
CART_UPDATED,subscription_costYellowOpTIONAL,,,
CART_UPDATED,currencyYellowOpTIONAL,,,
CART_UPDATED,plan_trial_lengthYellowOpTIONAL,,,
PAYMENT_INFO_ENTERED,subscription_plan,,"Choose the plan highlighted in pink, else if plans are both pink or neither pink then first plan on the list.monthly if Monthly Planannual if Annual Plan",GreenAvailable in v7.5
PAYMENT_INFO_ENTERED,Boolean,,,
PAYMENT_INFO_ENTERED,subscription_costYellowOpTIONAL,,,
PAYMENT_INFO_ENTERED,currencyYellowOpTIONAL,,,
PAYMENT_INFO_ENTERED,plan_trial_lengthYellowOpTIONAL,,,
PAYMENT_INFO_ENTERED,payment_method,,,
PAYMENT_INFO_ENTERED,payment_success_flag,,,
SECOND_OPT_IN,second_opt_in_response,,"true if member agrees to marketing emails, false otherwise.",Ready for Dev
IMAGE_TBC,,,,
PAYMENT_SUCCESSFUL,subscription_plan,,"Choose the plan highlighted in pink, else if plans are both pink or neither pink then first plan on the list.monthly if Monthly Planannual if Annual Plan",GreenAvailable in v7.5
PAYMENT_SUCCESSFUL,Boolean,,,
PAYMENT_SUCCESSFUL,subscription_costYellowOpTIONAL,,,
PAYMENT_SUCCESSFUL,currencyYellowOpTIONAL,,,
PAYMENT_SUCCESSFUL,plan_trial_lengthYellowOpTIONAL,,,
PAYMENT_SUCCESSFUL,payment_method,,,
WORKOUT_SEARCHED,query,,"Search string submitted for workout lookup, Abs",GreenAvailable in v7.5
WORKOUT_SEARCHED,Array,,,
PROGRAM_LIST_VIEWED,tab_name,,Tab Name,GreenAvailable in v7.5
PROGRAM_VIEWED,program_id,,Program ID,GreenAvailable in v7.5
PROGRAM_VIEWED,String,,,
PROGRAM_VIEWED,trainer_id,,,
PROGRAM_VIEWED,trainer_name,,,
PROGRAM_VIEWED,tags,,,
PROGRAM_VIEWED,attributes,,,
PROGRAM_VIEWED,image_url,,,
WORKOUT_VIEWED,workout_id,,Workout Id,GreenAvailable in v7.5
WORKOUT_VIEWED,String,,,
WORKOUT_VIEWED,circuit_countYellowOpTIONAL,,"Always 0 for LISS, HIIT and Rest",
WORKOUT_VIEWED,exercise_countYellowOpTIONAL,,"Always 0 for LISS, HIIT and Rest",
WORKOUT_VIEWED,trainer_id,,,
WORKOUT_VIEWED,trainer_name,,,
WORKOUT_VIEWED,durationYellowOpTIONAL,,"Resistance and Recovery - Rehab: use focus.estimated_durationLISS: Value first seen when overview opened in secondsHIIT: Value of main timer, work & rest intervals in seconds when first opened in the format: {main timer}:{work_interval}:{rest_interval}Always 0 for Rest",
WORKOUT_VIEWED,image_url,,"Resistance and Recovery will use focus.card_image, empty value for Cardio",
WORKOUT_VIEWED,sub_category,,,
EXERCISE_VIEWED,exercise_id,,Exercise ID,GreenAvailable in v7.5
EXERCISE_VIEWED,String,,,
EXERCISE_VIEWED,volume_type,,,
EXERCISE_VIEWED,volume,,,
EXERCISE_VIEWED,image_url,,,
TRAINER_LIST_VIEWED,tab_name,,Tab name,GreenAvailable in v7.5
TRAINER_VIEWED,trainer_id,,Trainer Id,GreenAvailable in v7.5
TRAINER_VIEWED,String,,,
TRAINER_VIEWED,image_url,,User hero_image_url,
