ID,PIPELINE_NAME,METRIC_NAME,METRIC_VALUE,SEVERITY,RUN_ID,PAYLOAD,OCCURRED_AT,IS_ALERT,SENT_TO_SLACK,SENT_AT,ENVIRONMENT
derived-a1,ai-ingest-postgres-load,load.postgresql.TRAINING_STYLES.rows_loaded,2,info,,"{""log_group"":""/aws/lambda/ai-ingest-postgres-load"",""raw"":{""table_name"":""TRAINING_STYLES"",""max_date"":""2026-07-14"",""rows_loaded"":2,""load_type"":""Append""}}",2026-07-15 04:12:03.481922,false,false,,prod
derived-a2,orders_etl,orders.row_count,1180,info,r-4471,{},2026-07-15 05:30:00,false,false,,prod
derived-b1,ai-ingest-sweatforum-ai-ingest,ingest.postgresql.discussions.schema_type_drift,6,warning,,"{""log_group"":""/aws/lambda/ai-ingest-sweatforum-ai-ingest"",""raw"":{""table_name"":""discussions"",""drift_count"":6,""drift_summary"":""CREATED_AT: PG=timestamp vs SF=NUMBER(38,0)""}}",2026-07-15 06:07:50.891267,true,false,,prod
derived-c1,payments_dbt,payments.dbt.run_failure,1,error,run-88f2,"{""error_message"":""Database Error in model stg_payments (models/staging/stg_payments.sql): division by zero"",""node"":""model.analytics.stg_payments""}",2026-07-15 07:15:22.004010,true,true,2026-07-15 07:15:41.220301,prod
derived-c2,warehouse_load,warehouse.freshness.hours_stale,26,critical,run-88f9,"{""error_message"":""No successful load in 26h; SLA is 6h"",""threshold"":6,""observed"":26}",2026-07-15 07:20:00,true,true,2026-07-15 07:20:12.100000,prod
derived-d1,dbt_run_failures,dbt.run.failures,2,error,,"{""failures"":[{""pipeline_name"":""braze_cdi_attribute_sync"",""error_message"":""compilation error: relation BRAZE.CDI_ATTR not found""},{""pipeline_name"":""member_funnel_daily"",""error_message"":""test not_null_member_id failed: 4 rows""}]}",2026-07-15 08:00:05.729000,true,true,2026-07-15 08:00:20.551000,prod
braze-cdi-9931-2026-07-15 09:30:00,braze-cdi-attribute,cdi_sync,4200,info,9931,"{""job_status"":""success"",""rows_synced"":4200,""rows_failed"":0,""integration_name"":""Snowflake Attribution Ingestion Prod""}",2026-07-15 09:30:00,false,false,,prod
braze-cdi-9931-2026-07-15 11:30:00,braze-cdi-attribute,cdi_sync,0,noload,9931,"{""job_status"":""success"",""rows_synced"":0,""rows_failed"":0,""integration_name"":""Snowflake Attribution Ingestion Prod""}",2026-07-15 11:30:00,false,false,,prod
braze-cdi-9931-2026-07-15 13:30:33,braze-cdi-attribute,cdi_sync,0,running,9931,"{""job_status"":""running"",""rows_synced"":0,""rows_failed"":0,""integration_name"":""Snowflake Attribution Ingestion Prod""}",2026-07-15 13:30:33,false,false,,prod
braze-cdi-9931-2026-07-15 15:30:00,braze-cdi-delete,cdi_sync,0,error,9931,"{""job_status"":""failed"",""rows_synced"":0,""rows_failed"":118,""integration_name"":""Snowflake Deletion Ingestion Prod""}",2026-07-15 15:30:00,true,true,2026-07-15 15:30:18.900000,prod
derived-e1,orders_etl,orders.row_count,990,info,r-dev-1,{},2026-07-15 09:00:00,false,false,,dev
